image_path,family,category,split,rendered_text,source_font,random_seed,image_size,applied_effects,image_index
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0000.png,Alegreya,serif,train,Creative Work,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000126,224x96,"{""actual_font_size"": 22, ""background"": ""light"", ""background_rgb"": [242, 245, 243], ""blur_radius"": 0.455, ""contrast_style"": ""strong"", ""foreground_rgb"": [39, 8, 40], ""horizontal_shift_px"": 1, ""jpeg_quality"": null, ""letter_spacing_px"": 1, ""luminance_difference"": 214.33, ""requested_font_size"": 34, ""rotation_degrees"": 1.45, ""scale_factor"": 0.9983, ""vertical_shift_px"": -4}",0
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0001.png,Alegreya,serif,train,Visual Form,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000127,224x96,"{""actual_font_size"": 26, ""background"": ""dark"", ""background_rgb"": [35, 21, 15], ""blur_radius"": 0.293, ""contrast_style"": ""strong"", ""foreground_rgb"": [240, 230, 255], ""horizontal_shift_px"": -2, ""jpeg_quality"": null, ""letter_spacing_px"": 2, ""luminance_difference"": 218.0, ""requested_font_size"": 42, ""rotation_degrees"": 2.327, ""scale_factor"": 1.026, ""vertical_shift_px"": -2}",1
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0002.png,Alegreya,serif,train,Creative Notes,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000128,224x96,"{""actual_font_size"": 17, ""background"": ""light"", ""background_rgb"": [254, 241, 249], ""blur_radius"": null, ""contrast_style"": ""soft"", ""foreground_rgb"": [97, 82, 84], ""horizontal_shift_px"": 8, ""jpeg_quality"": null, ""letter_spacing_px"": 3, ""luminance_difference"": 160.33, ""requested_font_size"": 34, ""rotation_degrees"": 0.038, ""scale_factor"": 0.9876, ""vertical_shift_px"": -4}",2
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0003.png,Alegreya,serif,train,Design Studio,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000129,224x96,"{""actual_font_size"": 24, ""background"": ""dark"", ""background_rgb"": [11, 43, 12], ""blur_radius"": null, ""contrast_style"": ""strong"", ""foreground_rgb"": [226, 240, 250], ""horizontal_shift_px"": 2, ""jpeg_quality"": 87, ""letter_spacing_px"": 0, ""luminance_difference"": 216.67, ""requested_font_size"": 51, ""rotation_degrees"": 1.434, ""scale_factor"": 1.0097, ""vertical_shift_px"": -1}",3
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0004.png,Alegreya,serif,train,Classic Forms,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000130,224x96,"{""actual_font_size"": 24, ""background"": ""light"", ""background_rgb"": [242, 245, 251], ""blur_radius"": 0.217, ""contrast_style"": ""strong"", ""foreground_rgb"": [50, 1, 1], ""horizontal_shift_px"": -1, ""jpeg_quality"": 88, ""letter_spacing_px"": 0, ""luminance_difference"": 228.67, ""requested_font_size"": 33, ""rotation_degrees"": -0.832, ""scale_factor"": 0.992, ""vertical_shift_px"": 2}",4
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0005.png,Alegreya,serif,train,Headline,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000131,224x96,"{""actual_font_size"": 39, ""background"": ""light"", ""background_rgb"": [244, 242, 245], ""blur_radius"": null, ""contrast_style"": ""soft"", ""foreground_rgb"": [104, 88, 101], ""horizontal_shift_px"": -10, ""jpeg_quality"": null, ""letter_spacing_px"": 0, ""luminance_difference"": 146.0, ""requested_font_size"": 45, ""rotation_degrees"": -1.797, ""scale_factor"": 0.9764, ""vertical_shift_px"": -2}",5
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0006.png,Alegreya,serif,train,Bright Idea,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000132,224x96,"{""actual_font_size"": 24, ""background"": ""light"", ""background_rgb"": [233, 236, 234], ""blur_radius"": null, ""contrast_style"": ""strong"", ""foreground_rgb"": [45, 29, 45], ""horizontal_shift_px"": 12, ""jpeg_quality"": 75, ""letter_spacing_px"": 3, ""luminance_difference"": 194.67, ""requested_font_size"": 37, ""rotation_degrees"": -2.14, ""scale_factor"": 0.9401, ""vertical_shift_px"": -4}",6
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0007.png,Alegreya,serif,train,Text Sample,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000133,224x96,"{""actual_font_size"": 28, ""background"": ""light"", ""background_rgb"": [255, 236, 252], ""blur_radius"": null, ""contrast_style"": ""soft"", ""foreground_rgb"": [81, 76, 105], ""horizontal_shift_px"": 1, ""jpeg_quality"": null, ""letter_spacing_px"": 0, ""luminance_difference"": 160.33, ""requested_font_size"": 28, ""rotation_degrees"": -1.502, ""scale_factor"": 1.0386, ""vertical_shift_px"": 2}",7
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0008.png,Alegreya,serif,train,Letter Space,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000134,224x96,"{""actual_font_size"": 26, ""background"": ""light"", ""background_rgb"": [243, 253, 235], ""blur_radius"": null, ""contrast_style"": ""strong"", ""foreground_rgb"": [20, 36, 15], ""horizontal_shift_px"": 11, ""jpeg_quality"": null, ""letter_spacing_px"": 0, ""luminance_difference"": 220.0, ""requested_font_size"": 38, ""rotation_degrees"": 0.907, ""scale_factor"": 1.0255, ""vertical_shift_px"": 2}",8
data/processed/fontsense_full/images/train/serif/Alegreya/Alegreya_0009.png,Alegreya,serif,train,Type Practice,data/raw/fonts/google_fonts/serif/Alegreya__Alegreya[wght].ttf,84000135,224x96,"{""actual_font_size"": 21, ""background"": ""light"", ""background_rgb"": [241, 247, 248], ""blur_radius"": 0.499, ""contrast_style"": ""soft"", ""foreground_rgb"": [110, 70, 82], ""horizontal_shift_px"": 5, ""jpeg_quality"": null, ""letter_spacing_px"": 2, ""luminance_difference"": 158.0, ""requested_font_size"": 60, ""rotation_degrees"": -0.422, ""scale_factor"": 1.0493, ""vertical_shift_px"": 2}",9
