image_path,family,category,split,predicted_category,confidence,uncertain,correct,inference_ms,probability_display,probability_handwriting,probability_monospace,probability_sans_serif,probability_serif,example_group
data/processed/fontsense_full/images/test/serif/Libre_Baskerville/Libre_Baskerville_0001.png,Libre Baskerville,serif,test,monospace,0.9481140971183777,False,False,2.8263001004233956,0.026340382173657417,0.0006167609826661646,0.9481140971183777,0.005686398129910231,0.01924242451786995,confident_mistake
data/processed/fontsense_full/images/test/sans_serif/Oxygen/Oxygen_0001.png,Oxygen,sans_serif,test,monospace,0.8672199249267578,False,False,2.361699938774109,0.054954856634140015,0.011338192038238049,0.8672199249267578,0.05363123491406441,0.012855790555477142,confident_mistake
data/processed/fontsense_full/images/test/sans_serif/Open_Sans/Open_Sans_0012.png,Open Sans,sans_serif,test,monospace,0.8586052656173706,False,False,3.9818999357521534,0.004188923630863428,0.00029612373327836394,0.8586052656173706,0.03948486968874931,0.09742476791143417,confident_mistake
data/processed/fontsense_full/images/test/serif/Cormorant_Garamond/Cormorant_Garamond_0009.png,Cormorant Garamond,serif,test,monospace,0.8552842140197754,False,False,3.344799974001944,0.0005688861128874123,0.00533065851777792,0.8552842140197754,0.06670471280813217,0.07211149483919144,confident_mistake
data/processed/fontsense_full/images/test/sans_serif/Open_Sans/Open_Sans_0002.png,Open Sans,sans_serif,test,monospace,0.8516084551811218,False,False,11.366700055077672,0.001176077756099403,0.0018090629018843174,0.8516084551811218,0.09176366031169891,0.05364266037940979,confident_mistake
data/processed/fontsense_full/images/test/sans_serif/Open_Sans/Open_Sans_0038.png,Open Sans,sans_serif,test,monospace,0.3488195538520813,True,False,4.519900074228644,0.023056944832205772,0.1330559253692627,0.3488195538520813,0.3405551016330719,0.15451247990131378,low_confidence_mistake
data/processed/fontsense_full/images/test/serif/Merriweather/Merriweather_0001.png,Merriweather,serif,test,sans_serif,0.3704386353492737,True,False,11.578500038012862,0.007817637175321579,0.027017779648303986,0.3124830722808838,0.3704386353492737,0.2822428345680237,low_confidence_mistake
data/processed/fontsense_full/images/test/sans_serif/Oxygen/Oxygen_0014.png,Oxygen,sans_serif,test,monospace,0.375728577375412,True,False,4.344600019976497,0.025052489712834358,0.08204491436481476,0.375728577375412,0.37338513135910034,0.1437889039516449,low_confidence_mistake
data/processed/fontsense_full/images/test/sans_serif/Raleway/Raleway_0012.png,Raleway,sans_serif,test,serif,0.379082590341568,True,False,5.193499964661896,0.009641199372708797,0.05338476970791817,0.19703644514083862,0.36085501313209534,0.379082590341568,low_confidence_mistake
data/processed/fontsense_full/images/test/serif/Libre_Baskerville/Libre_Baskerville_0038.png,Libre Baskerville,serif,test,sans_serif,0.3815431296825409,True,False,2.490699989721179,0.07329630106687546,0.06204206123948097,0.35150226950645447,0.3815431296825409,0.13161616027355194,low_confidence_mistake
